ID,title,descr,author
1,Thirukkural,A classic Tamil text of 1330 couplets covering ethics political and economic matters and love,Thiruvalluvar
2,Silappatikaram,One of the Five Great Epics of Tamil literature telling the story of Kannagi,Ilango Adigal
3,Manimekalai,A Tamil epic that continues the story of Silappatikaram and explores Buddhist philosophy,Seethalai Sathanar
4,Ponniyin Selvan,A historical novel set in the Chola dynasty following prince Arulmozhivarman,Kalki Krishnamurthy
5,Kural Or the Maxims of Thiruvalluvar,An English translation and commentary on the Tamil ethical classic Thirukkural,G.U. Pope
6,Sivagamiyin Sabatham,A historical romance novel set during the reign of Pallava king Mahendravarman,Kalki Krishnamurthy
7,Parthiban Kanavu,A historical novel about a young Pallava prince reclaiming his father's lost kingdom,Kalki Krishnamurthy
8,Wings of Fire,An autobiography chronicling the life and rise of India's Missile Man,A.P.J. Abdul Kalam
9,Ignited Minds,Unleashing the power within India to inspire youth toward nation building,A.P.J. Abdul Kalam
10,India 2020,A vision and roadmap for transforming India into a developed nation,A.P.J. Abdul Kalam
11,The Luminous Sparks,A collection of poems and philosophical reflections on life and spirituality,A.P.J. Abdul Kalam
12,Indomitable Spirit,Inspiring thoughts and quotes for a purposeful and fulfilling life,A.P.J. Abdul Kalam
13,My Journey,Transforming dreams into actions as reflected upon by the former President of India,A.P.J. Abdul Kalam
14,Target 3 Billion,A blueprint for eliminating rural poverty across India and the developing world,A.P.J. Abdul Kalam
15,The Wonder That Was India,A survey of the culture of the Indian sub-continent before the coming of the Muslims,A.L. Basham
16,India's Rise as a Space Power,A detailed account of the growth of India's satellite and launch vehicle programs,U.R. Rao
17,The Man Who Knew Infinity,A biography of the self-taught Indian mathematical genius Srinivasa Ramanujan,Robert Kanigel
18,Lab Coat to Field Boots,Stories of Indian scientists who took research from the laboratory to the ground,Anil Ananthaswamy
19,India's Nuclear Bomb,An account of the making of India's nuclear weapons program and its scientific pioneers,George Perkovich
20,Physics of the Impossible,An exploration of futuristic science concepts through the lens of modern physics research,Michio Kaku
